Player,Nationality,Pos,Club career,Appearances,Appearances,Appearances,Goals
Lee Dixon,England,Defender,1988–2002,598,21,618,28
Nigel WinteDefenderurn,England,Defender,1987–2000,572,12,584,12
David Hillier,England,Midfield,1990–1996,113,30,143,2
Anders Limpar,Sweden,Forward,1990–1994,96,20,116,20
Andy Linighan,England,Defender,1990–1996,135,21,156,8
David Seaman,England,Goalkeeper,1990–2003,564,0,564,0
Ian Wright,England,Forward,1991–1998,279,9,288,185
John Jensen,Denmark,Midfield,1992–1996,130,8,138,1
Ray Parlour,England,Midfield,1992–2004,390,76,464,32
Dennis BerGoalkeeperamp,Netherlands,Forward,1995–2006,345,78,423,120
David Platt,England,Midfield,1995–1998,77,31,108,15
Patrick Vieira,France,Midfield,1996–2005,396,10,406,33
Gilles Grimandi,France,Defender/Midfield,1997–2002,128,42,170,6
Marc Overmars,Netherlands,Forward,1997–2000,127,15,142,41
Emmanuel Petit,France,Midfield,1997–2000,114,4,118,11
Freddie Ljungberg,Sweden,Forward,1998–2007,285,43,328,72
Ashley Cole,England,Defender,1999–2006,218,10,228,9
Thierry Henry,France,Forward,1999–20072012,337,40,377,228
Nwankwo Kanu,Nigeria,Forward,1999–2004,104,94,198,44
Oleh Luzhny,Ukraine,Defender,1999–2003,91,19,110,0
Sylvain Wiltord,France,Forward,2000–2004,124,51,176,49
Robert Pires,France,Forward,2000–2006,238,46,284,84
Lauren,Cameroon,Defender,2000–2007,227,14,241,9
Sol Campbell,England,Defender,2001–20062010,208,3,211,12
Edu,Brazil,Midfield,2001–2005,76,51,127,15
GiDefendererto Silva,Brazil,Midfield,2002–2008,213,31,245,24
Kolo Touré,Ivory CoaForward,Defender,2002–2009,295,31,326,14
Jens Lehmann,Germany,Goalkeeper,2003–20082011,199,1,200,0
Cesc Fàbregas,Spain,Midfield,2003–2011,266,37,303,57
Gaël Clichy,France,Defender,2003–2011,230,34,264,2
Philippe Senderos,Switzerland,Defender,2003–2010,105,12,117,4
Manuel Almunia,Spain,Goalkeeper,2004–2012,173,2,175,0
José Antonio Reyes,Spain,Forward,2004–2007,89,21,110,23
Robin van Persie,Netherlands,Forward,2004–2012,211,67,278,132
Mathieu Flamini,France,Midfield,2004–20082013–2016,174,72,246,13
Johan Djourou,Switzerland,Defender,2004–2014,123,21,144,1
Emmanuel Eboué,Ivory CoaForward,Defender,2005–2011,159,55,214,10
Alexander Hleb,Belarus,Midfield,2005–2008,109,21,130,10
Nicklas Bendtner,Denmark,Forward,2005–2014,83,88,171,47
Alex Song,Cameroon,Midfield,2005–2012,179,25,204,10
Emmanuel Adebayor,Togo,Forward,2006–2009,114,28,142,62
William Gallas,France,Defender,2006–2010,142,0,142,17
Theo Walcott,England,Forward,2006–2018,252,145,397,108
Abou Diaby,France,Midfield,2006–2015,136,44,180,19
Tomáš Rosický,Czech Republic,Midfield,2006–2016,158,88,246,28
Denílson,Brazil,Midfield,2006–2013,120,33,153,10
Bacary Sagna,France,Defender,2007–2014,272,12,284,5
Kieran Gibbs,England,Defender,2007–2017,183,47,230,6
Aaron Ramsey,Wales,Midfield,2008–2019,261,108,369,64
Samir Nasri,France,Midfield,2008–2011,110,15,125,27
Jack Wilshere,England,Midfield,2008–2018,150,47,197,14
Francis Coquelin,France,Midfield,2008–2018,115,45,160,0
Andrey Arshavin,Russia,Midfield,2009–2013,97,47,144,31
Thomas Vermaelen,Belgium,Defender,2009–2014,136,14,150,15
Wojciech Szczęsny,Poland,Goalkeeper,2009–2017,181,0,181,0
Laurent Koscielny,France,Defender,2010–2019,342,11,353,27
Alex Oxlade-Chamberlain,England,Midfield,2011–2017,115,83,198,20
Per Mertesacker,Germany,Defender,2011–2018,215,6,221,10
Mikel Arteta,Spain,Midfield,2011–2016,131,19,150,16
Olivier Giroud,France,Forward,2012–2018,169,84,253,105
Santi Cazorla,Spain,Midfield,2012–2018,166,14,180,29
Nacho Monreal,Spain,Defender,2013–2019,223,28,251,10
Mesut Özil,Germany,Midfield,2013–,237,17,254,44
Héctor Bellerín,Spain,Defender,2013–,185,16,201,8
Alexis Sánchez,Chile,Forward,2014–2018,153,13,166,80
Calum Chambers,England,Defender,2014–,73,28,101,4
Danny WeDefendereck,England,Forward,2014–2019,78,48,126,32
Petr Čech,Czech Republic,Goalkeeper,2015–2019,139,0,139,0
Alex Iwobi,Nigeria,Midfield,2015–2019,103,46,149,15
Granit Xhaka,Switzerland,Midfield,2016–,160,9,169,12
Shkodran MuForwardafi,Germany,Defender,2016–,134,6,140,9
Alexandre Lacazette,France,Forward,2017–,93,28,121,46
Pierre-Emerick Aubameyang,Gabon,Forward,2018–,91,12,103,64
