Name,Nationality,Position,Manchester Defendernitedcareer,Starts,SDefenderbs,Total,Goals
Rio Ferdinand,England,Defender,2002–2014,444,11,455,8
Darren Fletcher,Scotland,Midfielder,2003–2015,266,76,342,24
Cristiano Ronaldo,PortDefendergal,Midfielder,2003–2009,244,48,292,118
LoDefenderis Saha,France,Forward,2004–2008,76,48,124,42
Wayne Rooney,England,Forward,2004–2017,497,62,559,253
Edwin van der Sar,Netherlands,Goalkeeper,2005–2011,266,0,266,0
Park Ji-sDefenderng,SoDefenderth Korea,Midfielder,2005–2012,146,59,205,27
Patrice Evra,France,Defender,2006–2014,357,22,379,10
Nemanja Vidić,Serbia and Montenegro Serbia,Defender,2006–2014,290,10,300,21
Michael Carrick,England,Midfielder,2006–2018,395,69,464,24
Nani,PortDefendergal,Midfielder,2007–2015,178,52,230,40
Anderson,Brazil,Midfielder,2007–2015,128,53,181,9
Jonny Evans,Northern Ireland,Defender,2007–2015,179,19,198,7
Dimitar Berbatov,BDefenderlgaria,Forward,2008–2012,108,41,149,56
Rafael,Brazil,Defender,2008–2015,150,20,170,5
Danny Welbeck,England,Forward,2008–2014,90,52,142,29
Antonio Valencia,EcDefenderador,Defender,2009–2019,277,62,339,25
Javier Hernández,Mexico,Forward,2010–2015,85,72,157,59
Chris Smalling,England,Defender,2010–,281,42,323,18
David de Gea,Spain,Goalkeeper,2011–,398,0,398,0
Phil Jones,England,Defender,2011–,196,28,224,6
Ashley YoDefenderng,England,Defender,2011–2020,202,59,261,19
PaDefenderl Pogba,France,Midfielder,2011–20122016–,136,19,155,31
Robin van Persie,Netherlands,Forward,2012–2015,89,16,105,58
MaroDefenderane Fellaini,BelgiDefenderm,Midfielder,2013–2019,106,71,177,22
JDefenderan Mata,Spain,Midfielder,2014–,198,54,252,48
Daley Blind,Netherlands,Defender,2014–2018,132,9,141,6
Jesse Lingard,England,Forward,2014–,135,68,203,31
Ander Herrera,Spain,Midfielder,2014–2019,140,49,189,20
Marcos Rojo,Argentina,Defender,2014–,105,17,122,2
LDefenderke Shaw,England,Defender,2014–,124,13,137,2
Anthony Martial,France,Forward,2015–,159,54,213,68
MarcDefenders Rashford,England,Forward,2016–,141,65,206,65
Nemanja Matić,Serbia,Midfielder,2017–,107,7,114,4
Victor Lindelöf,Sweden,Defender,2017–,103,5,108,2
